ID,UPA,EventDate,Employer,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,General Nature,General Event,General Source,NAICS Desc
20221210929,1978648,12/16/22,"R/J Group, Inc.",NEW SMYRNA BEACH,FLORIDA,32168.0,29.04,-81.03,238160,1,0.0,"On December 16, 2022, an employee was working on a second-level roof, installing underlayment and shingles. The employee slipped off the roof and landed on the grass, suffering injuries to both wrists. The employee was hospitalized.",1972.0,"Soreness, pain, hurt-nonspecified injury",43.0,Wrist(s),4330.0,"Other fall to lower level, unspecified",6544.0,Roof edges,Traumatic injuries? n.e.c.,"Falls, Slips, Trips",Structures and Surfaces,Manufacturing
20221210918,1978903,12/16/22,"Elixir Extrusions, LLC",DOUGLAS,GEORGIA,31533.0,31.49,-82.86,332322,1,0.0,"An employee was servicing a lift table by adding hydraulic fluid. The table came down on his left hand, fracturing three bones.",111.0,Fractures,440.0,"Hand(s), unspecified",642.0,Compressed or pinched by shifting objects or equipment,3499.0,"Material and personnel handling machinery, n.e.c.","Injuries to the brain, spinal cord",Contact Incidents,Machinery,Manufacturing
20221210916,1979661,12/16/22,"Chartpak, Inc.",LEEDS,MASSACHUSETTS,1053.0,42.35,-72.7,322222,0,1.0,"On December 16, 2022, an employee was feeding a book through a machine and guiding the wire when their left index finger was amputated at the first knuckle.",1311.0,Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",6412.0,Caught in running equipment or machinery during regular operation,370.0,"Special process machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210912,1978609,12/16/22,"Lectraheat, LTD.",LEBANON,OHIO,45036.0,39.43,-84.22,333415,1,0.0,An employee was using a shaping machine when their hands were caught between two rollers. The machine was unguarded at the time.,1972.0,"Soreness, pain, hurt-nonspecified injury",440.0,"Hand(s), unspecified",6412.0,Caught in running equipment or machinery during regular operation,3510.0,"Bending, rolling, shaping machinery, unspecified",Traumatic injuries? n.e.c.,Contact Incidents,Machinery,Manufacturing
20221210907,1978970,12/15/22,"Trane Technologies Company, LLC",DALTON,GEORGIA,30721.0,34.73,-84.94,238220,1,1.0,"An employee was installing a first-stage impeller in a centrifugal chiller during reassembly. The impeller moved forward quickly and crushed a finger on the employee's right hand, causing a fingertip amputation without bone loss.",1311.0,Amputations,4422.0,Fingertip(s),642.0,Compressed or pinched by shifting objects or equipment,4429.0,"Machine and appliance parts, n.e.c.",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221210905,1978490,12/15/22,"Crest Bending, Inc.",NEW WASHINGTON,OHIO,44854.0,40.96,-82.85,332322,0,1.0,"On December 15, 2022, an employee was operating a hydraulic press. The machine actuated while the employee's hand was on the part being loaded into the machine, resulting in an amputation to the right middle and index fingers.",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6412.0,Caught in running equipment or machinery during regular operation,3560.0,"Presses, except printing, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210894,1978947,12/15/22,Perdue Farms inc.,PERRY,GEORGIA,31069.0,32.44,-83.62,311615,0,1.0,An employee was rinsing out a batter machine. He went to clear a piece of meat on the inlet of the pump when his fingertip was amputated. The employee was hospitalized and underwent surgery.,1311.0,Amputations,4422.0,Fingertip(s),6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3710.0,"Food and beverage processing machinery-specialized, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210891,1978913,12/15/22,Persona Signs LLC,MADISON,SOUTH DAKOTA,57042.0,44.0,-97.12,339950,0,1.0,"An employee was sanding a steel tube with his right hand when his left ring finger which was inside the steel tube was crushed, then amputated.",1311.0,Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",60.0,"Contact with objects and equipment, unspecified",4123.0,"Metal pipes, tubing",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221210890,1978727,12/15/22,TYSON POULTRY INC.,WALDRON,ARKANSAS,72958.0,34.9,-94.1,311615,1,1.0,"An employee was cutting a piece of polytetrafluoroethylene into two halves with a portable table saw. A piece kicked back and crushed the tip of their left middle finger, resulting in an amputation to the distal end of the finger.",1311.0,Amputations,4422.0,Fingertip(s),6241.0,"Struck by dislodged flying object, particle",499.0,"Parts and materials, n.e.c.",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221210887,1979197,12/15/22,"The Molding Company, Inc.",CHERRYVALE,KANSAS,67335.0,37.27,-95.55,333511,1,1.0,"An employee was cutting a part on a band saw. The saw caught his glove and pulled in his finger, its blade amputating two joints of his left little finger.",1311.0,Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",6412.0,Caught in running equipment or machinery during regular operation,3572.0,Band saws,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210881,1978610,12/15/22,Fuchs Lubricants Co.,HARVEY,ILLINOIS,60426.0,41.58,-87.64,324191,0,1.0,"An employee was exiting a scissor lift. His right little finger hit a cable on the lift, and he suffered a fingertip amputation.",1311.0,Amputations,4422.0,Fingertip(s),630.0,"Struck against object or equipment, unspecified",3467.0,"Aerial lifts, scissor lifts-except truck-mounted",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210870,1977951,12/14/22,LINCOLN ELECTRIC,EUCLID,OHIO,44117.0,41.58,-81.51,333992,0,1.0,"An employee was operating equipment to resize a welding wire. As the operator was guiding the wire into the machine, their finger became entangled in the wire, resulting in an amputation.",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6412.0,Caught in running equipment or machinery during regular operation,350.0,"Metal, woodworking, and special material machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210858,1978439,12/14/22,Wayne Farms LLC,DOTHAN,ALABAMA,36303.0,31.22,-85.36,311615,1,0.0,"An employee was using a hose to clean out the scale conveyor belt when he noticed a piece of product stuck in the conveyor. While removing it, the employee's right arm was caught in the running conveyor, resulting in a right arm fracture and hospitalizat",111.0,Fractures,420.0,"Arm(s), unspecified",6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3421.0,Conveyors-belt,"Injuries to the brain, spinal cord",Contact Incidents,Machinery,Manufacturing
20221210857,1978114,12/14/22,"WestRock, LLC",HODGE,LOUISIANA,71247.0,32.53,-92.57,322130,0,1.0,A paper mill employee was attempting to clear paper from a tail cutting system when the blades made contact with employee's left middle and ring fingers. They sustained partial amputations below the fingernail.,1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3740.0,"Paper production machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210856,1977911,12/14/22,"UGN Automotive (UGN, INC.)",MONROE,OHIO,45050.0,39.44,-84.37,336399,1,1.0,"An employee had just finished repairing a shearing machine and began loading material into the machine. As he was positioning the material, the shear cycled, resulting in an amputation to the tip of the thumb. The machine was unguarded at the time.",1311.0,Amputations,4422.0,Fingertip(s),6419.0,"Caught in running equipment or machinery, n.e.c.",3512.0,Shearing machines,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210845,1978112,12/14/22,"Universal Forming, Inc.",CLERMONT,FLORIDA,34711.0,28.55,-81.72,238110,1,0.0,"An employee was cleaning up and picked up a piece of plywood that was being used as a hole covering. The employee fell approximately 14 feet to the next lower level, resulting in a left wrist fracture and a right shoulder contusion.",111.0,Fractures,43.0,Wrist(s),4323.0,Fall through surface or existing opening 11 to 15 feet ,6621.0,Existing floor opening ,"Injuries to the brain, spinal cord","Falls, Slips, Trips",Structures and Surfaces,Manufacturing
20221210843,1978008,12/14/22,"C. E. Shepherd Company, L.P.",HOUSTON,TEXAS,77023.0,29.72,-95.33,326121,1,0.0,"An employee was clearing a material jam on an embossing machine when his left hand became caught between two rollers, resulting in a laceration.",132.0,"Cuts, lacerations",440.0,"Hand(s), unspecified",642.0,Compressed or pinched by shifting objects or equipment,350.0,"Metal, woodworking, and special material machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210839,1977806,12/13/22,Daltile,EL PASO,TEXAS,79934.0,31.95,-106.35,327991,1,0.0,"An employee was assisting some co-workers in lifting a support brace on a mill. One of the employees lost their grip, causing one side of the support brace to collapse and crush the injured employee's left hand.",1971.0,Crushing injuries,440.0,"Hand(s), unspecified",6230.0,"Struck by falling object or equipment, unspecified",40.0,"Parts and materials, unspecified",Traumatic injuries? n.e.c.,Contact Incidents,Parts and Materials,Manufacturing
20221210834,1977487,12/13/22,Archer Western Herzog 4 JV,PLANO,TEXAS,75074.0,33.03,-96.67,237990,0,1.0,"An employee was using a chain come-a-long to align a bolt hole so he could insert a bolt to secure a concrete form. The employee was ratcheting the come-a-long with his right hand and was holding the bolt with his left hand. The concrete form moved, and ",1311.0,Amputations,4422.0,Fingertip(s),642.0,Compressed or pinched by shifting objects or equipment,659.0,"Structural elements, n.e.c.",Surface and flesh wounds,Contact Incidents,Structures and Surfaces,Manufacturing
20221210832,1977558,12/13/22,Performance Contracting Inc.,HOUSTON,TEXAS,77002.0,29.76,-95.35,238310,1,0.0,"An employee fell off a fixed ladder, landed on the floor, and sustained fractures to the elbow and wrist.",111.0,Fractures,4831.0,Wrist(s) and elbow(s),4330.0,"Other fall to lower level, unspecified",741.0,Ladders-fixed,"Injuries to the brain, spinal cord","Falls, Slips, Trips","Tools, Instruments, and Equipment",Manufacturing
20221210829,1977484,12/13/22,NATIONAL GRID,HEWLETT,NEW YORK,11557.0,40.62,-73.69,221122,1,0.0,An employee was going to inspect a gas line for damage after the gas line was struck during excavation. The employee was looking into the excavation site when he fell 3 feet into the trench and sustained a left wrist laceration that required surgery and ,132.0,"Cuts, lacerations",43.0,Wrist(s),4331.0,Other fall to lower level less than 6 feet,611.0,"Ditches, channels, trenches, excavations",Surface and flesh wounds,"Falls, Slips, Trips",Structures and Surfaces,Manufacturing
